disease,symptoms,precautions,description
common cold,"chest_pain, chills, congestion, continuous_sneezing, cough, fatigue, headache, hyperthermia, loss_of_smell, malaise, muscle_pain, phlegm, redness_of_eyes, runny_nose, sinus_pressure, swelled_lymph_nodes, throat_irritation","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check","the common cold is a viral infection of your nose and throat (upper respiratory tract). it's usually harmless, although it might not feel that way. many types of viruses can cause a common cold."
dengue,"back_pain, chills, fatigue, headache, hyperthermia, joint_pain, loss_of_appetite, malaise, muscle_pain, nausea, pain_behind_the_eyes, red_spots_over_body, skin_rash, vomiting","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated","an acute infectious disease caused by a flavivirus (species dengue virus of the genus flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever."
diabetes ,"blurred_and_distorted_vision, excessive_hunger, fatigue, increased_appetite, irregular_sugar_level, lethargy, obesity, polyuria, restlessness, weight_loss","have balanced diet, exercise, consult doctor, follow up",
dimorphic hemmorhoids(piles),"bloody_stool, constipation, irritation_in_anus, pain_during_bowel_movements, pain_in_anal_region","avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",
drug reaction,"burning_micturition, itching, skin_rash, spotting_ urination, stomach_pain","stop irritation, consult nearest hospital, stop taking drug, follow up",an adverse drug reaction (adr) is an injury caused by taking medication. adrs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.
fungal infection,"dischromic _patches, itching, nodal_skin_eruptions, skin_rash","bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths","in humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. fungi can live in the air, soil, water, and plants. there are also some fungi that live naturally in the human body. like many microbes, there are helpful fungi and harmful fungi."
gastroenteritis,"dehydration, diarrhoea, sunken_eyes, vomiting","stop eating solid food for while, try taking small sips of water, rest, ease back into eating","gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
gerd,"acidity, chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting","avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise","gastroesophageal reflux disease, or gerd, is a digestive disorder that affects the lower esophageal sphincter (les), the ring of muscle between the esophagus and stomach. many people, including pregnant women, suffer from heartburn or acid indigestion caused by gerd."
heart attack,"breathlessness, chest_pain, sweating, vomiting","call ambulance, chew or swallow asprin, keep calm, ","the death of heart muscle due to the loss of blood supply. the loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
hepatitis a,"abdominal_pain, dark_urine, diarrhoea, joint_pain, loss_of_appetite, mild_fever, muscle_pain, nausea, vomiting, yellowing_of_eyes, yellowish_skin","consult nearest hospital, wash hands through, avoid fatty spicy food, medication",hepatitis a is a highly contagious liver infection caused by the hepatitis a virus. the virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.
hepatitis b,"abdominal_pain, dark_urine, fatigue, itching, lethargy, loss_of_appetite, malaise, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication","hepatitis b is an infection of your liver. it can cause scarring of the organ, liver failure, and cancer. it can be fatal if it isn't treated. it's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis b virus."
hepatitis c,"family_history, fatigue, loss_of_appetite, nausea, yellowing_of_eyes, yellowish_skin","consult nearest hospital, vaccination, eat healthy, medication","inflammation of the liver due to the hepatitis c virus (hcv), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. the damage hepatitis c does to the liver can lead to cirrhosis and its complications as well as cancer."
hepatitis d,"abdominal_pain, dark_urine, fatigue, joint_pain, loss_of_appetite, nausea, vomiting, yellowing_of_eyes, yellowish_skin","consult doctor, medication, eat healthy, follow up","hepatitis d, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. this swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. the condition is caused by the hepatitis d virus (hdv)."
hepatitis e,"abdominal_pain, acute_liver_failure, coma, dark_urine, fatigue, hyperthermia, joint_pain, loss_of_appetite, nausea, stomach_bleeding, vomiting, yellowing_of_eyes, yellowish_skin","stop alcohol consumption, rest, consult doctor, medication",a rare form of liver inflammation caused by infection with the hepatitis e virus (hev). it is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. hepatitis e does not cause chronic liver disease.
hypertension ,"chest_pain, dizziness, headache, lack_of_concentration, loss_of_balance","meditation, salt baths, reduce stress, get proper sleep",
hyperthyroidism,"abnormal_menstruation, diarrhoea, excessive_hunger, fast_heart_rate, fatigue, irritability, mood_swings, muscle_weakness, restlessness, sweating, weight_loss","eat healthy, massage, use lemon balm, take radioactive iodine treatment","hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat."
hypoglycemia,"anxiety, blurred_and_distorted_vision, drying_and_tingling_lips, excessive_hunger, fatigue, headache, irritability, nausea, palpitations, slurred_speech, sweating, vomiting","lie down on side, check in pulse, drink sugary drinks, consult doctor", hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. glucose is your body's main energy source. hypoglycemia is often related to diabetes treatment. but other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.
hypothyroidism,"abnormal_menstruation, brittle_nails, cold_hands_and_feets, depression, dizziness, enlarged_thyroid, fatigue, irritability, lethargy, mood_swings, puffy_face_and_eyes, swollen_extremeties, weight_gain","reduce stress, exercise, eat healthy, get proper sleep","hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone."
impetigo,"blister, hyperthermia, red_sore_around_nose, skin_rash, yellow_crust_ooze","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor","impetigo (im-puh-tie-go) is a common and highly contagious skin infection that mainly affects infants and children. impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. the sores burst and develop honey-colored crusts."
jaundice,"abdominal_pain, dark_urine, fatigue, hyperthermia, itching, vomiting, weight_loss, yellowish_skin","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication","yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. the yellowing extends to other tissues and body fluids. jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it"
malaria,"chills, diarrhoea, headache, hyperthermia, muscle_pain, nausea, sweating, vomiting","consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out",an infectious disease caused by protozoan parasites from the plasmodium family that can be transmitted by the bite of the anopheles mosquito or by a contaminated needle or transfusion. falciparum malaria is the most deadly type.
migraine,"acidity, blurred_and_distorted_vision, depression, excessive_hunger, headache, indigestion, irritability, stiff_neck, visual_disturbances","meditation, reduce stress, use poloroid glasses in sun, consult doctor","a migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. it's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
osteoarthristis,"hip_joint_pain, joint_pain, knee_pain, neck_pain, painful_walking, swelling_joints","acetaminophen, consult nearest hospital, follow up, salt baths","osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. it occurs when the protective cartilage that cushions the ends of your bones wears down over time."
paralysis (brain hemorrhage),"altered_sensorium, headache, vomiting, weakness_of_one_body_side","massage, eat healthy, exercise, consult doctor","intracerebral hemorrhage (ich) is when blood suddenly bursts into brain tissue, causing damage to your brain. symptoms usually appear suddenly during ich. they include headache, weakness, confusion, and paralysis, particularly on one side of your body."
peptic ulcer diseae,"abdominal_pain, indigestion, internal_itching, loss_of_appetite, passage_of_gases, vomiting","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol","peptic ulcer disease (pud) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. an ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
pneumonia,"breathlessness, chest_pain, chills, cough, fast_heart_rate, fatigue, hyperthermia, malaise, phlegm, rusty_sputum, sweating","consult doctor, medication, rest, follow up","pneumonia is an infection in one or both lungs. bacteria, viruses, and fungi cause it. the infection causes inflammation in the air sacs in your lungs, which are called alveoli. the alveoli fill with fluid or pus, making it difficult to breathe."
psoriasis,"inflammatory_nails, joint_pain, silver_like_dusting, skin_peeling, skin_rash, small_dents_in_nails","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths","psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. they can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. psoriasis can't be passed from person to person. it does sometimes happen in members of the same family."
tuberculosis,"blood_in_sputum, breathlessness, chest_pain, chills, cough, fatigue, hyperthermia, loss_of_appetite, malaise, mild_fever, phlegm, sweating, swelled_lymph_nodes, vomiting, weight_loss, yellowing_of_eyes","cover mouth, consult doctor, medication, rest","tuberculosis (tb) is an infectious disease usually caused by mycobacterium tuberculosis (mtb) bacteria. tuberculosis generally affects the lungs, but can also affect other parts of the body. most infections show no symptoms, in which case it is known as latent tuberculosis."
typhoid,"abdominal_pain, belly_pain, chills, constipation, diarrhoea, fatigue, headache, hyperthermia, nausea, toxic_look_(typhos), vomiting","eat high calorie vegitables, antiboitic therapy, consult doctor, medication","an acute illness characterized by fever caused by infection with the bacterium salmonella typhi. typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. diarrhea is uncommon, and vomiting is not usually severe."
urinary tract infection,"bladder_discomfort, burning_micturition, continuous_feel_of_urine, foul_smell_of urine","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics","urinary tract infection: an infection of the kidney, ureter, bladder, or urethra. abbreviated uti. not everyone with a uti has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
varicose veins,"bruising, cramps, fatigue, obesity, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs","lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long","a vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. varicose veins are most common in older adults, particularly women, and occur especially on the legs."
